17,17,0,0.0163032,0.0002944,0.0001864,122.174,0.0891419,-32416.7,35968.1,0.0163032,0,0.0002944,345.882,91.9484,-0.992462,0.00961635,0.00255639,-2.75928e-5,234.393,-345.882,0.0163032,0,0.0002944,0.755769,0.288396,-2.65201e-7,0.0126326,-0.0131907,-20.6514,-20.5909,-20.6226,0.0605512
18,18,0,0.0167792,0.0008448,0.0001816,122.067,-0.0180101,686.337,103122,0.0167792,0,0.0008448,240.84,95.5445,1.17959,0.00233548,0.000926517,1.14388e-5,240.84,-231.159,0.0167792,0,0.0008448,0.961728,0.297444,7.86481e-7,0.0140915,-0.0167853,-20.657,-20.5904,-20.6302,0.0666337
19,19,0,0.0179664,0.0006784,0.0003424,122.068,-0.0172261,-9078.92,82810.8,0.0179664,0,0.0006784,283.74,92.5572,-0.788926,0.00342637,0.00111769,-9.52685e-6,235.947,-283.74,0.0179664,0,0.0006784,1.02846,0.326339,-5.11091e-7,0.0179501,-0.0176042,-20.6615,-20.6032,-20.6336,0.0583552
20,20,0,0.0188312,0.0008376,0.0001864,122.067,-0.0176935,737.338,102244,0.0188312,0,0.0008376,406.611,108.921,-1.15403,0.00397688,0.00106531,-1.12871e-5,368.981,-406.611,0.0188312,0,0.0008376,1.23967,0.310356,2.75074e-6,0.0164428,-0.0216364,-20.6681,-20.5902,-20.64,0.0778487
21,21,0,0.0198544,0.0006456,0.0001856,122.077,-0.00759905,12357.8,78813.2,0.0198544,0,0.0006456,203.48,84.4279,-0.689468,0.0025818,0.00107124,-8.74813e-6,198.055,-203.48,0.0198544,0,0.0006456,0.96634,0.309436,-1.91856e-6,0.0168658,-0.015335,-20.6723,-20.6192,-20.6441,0.0531008
22,22,0,0.0208712,0.0003808,0.0003712,122.037,-0.0482063,28519.5,46471.6,0.0208712,0,0.0003808,241.72,100.705,-1.74433,0.00520146,0.00216702,-3.75354e-5,232.396,-241.72,0.0208712,0,0.0003808,0.904645,0.311563,-3.77998e-7,0.0149891,-0.015789,-20.6732,-20.6299,-20.6488,0.0433374
23,23,0,0.0214384,0.0002792,0.0001864,121.979,-0.106353,-33443.3,34056.5,0.0214384,0,0.0002792,252.943,103.135,-7.30438,0.00742716,0.00302837,-0.000214479,252.943,-183.834,0.0214384,0,0.0002792,0.894768,0.287536,-9.56765e-7,0.0156167,-0.014719,-20.6776,-20.6134,-20.645,0.0641407
24,24,0,0.02192,0.0008216,0.0002024,122.081,-0.00383064,-142.77,100302,0.02192,0,0.0008216,257.72,105.931,0.0243504,0.00256944,0.00105613,2.42771e-7,257.168,-257.72,0.02192,0,0.0008216,0.903295,0.306862,4.57734e-6,0.0157655,-0.0139136,-20.6833,-20.6174,-20.6496,0.0659405
25,25,0,0.0229256,0.0004144,0.000184,122.052,-0.0326022,26468.3,50578.5,0.0229256,0,0.0004144,329.493,112.331,-0.1484,0.00651448,0.00222093,-2.93405e-6,329.493,-286.88,0.0229256,0,0.0004144,1.18684,0.356656,9.09625e-7,0.0188211,-0.0207143,-20.6736,-20.6319,-20.6525,0.0416588
26,26,0,0.0235272,0.000244,0.0001872,122.047,-0.037787,-35494.5,29779.5,0.0235272,0,0.000244,238.871,95.0529,-1.86768,0.00802133,0.00319189,-6.2717e-5,175.289,-238.871,0.0235272,0,0.000244,0.872766,0.296542,9.71504e-6,0.0152326,-0.0131722,-20.6767,-20.6094,-20.6405,0.0673245
27,27,0,0.0239352,0.0004848,0.000164,122.086,0.00128803,22170.1,59187.5,0.0239352,0,0.0004848,254.852,95.8314,-0.118002,0.00430584,0.00161912,-1.9937e-6,220.241,-254.852,0.0239352,0,0.0004848,0.907357,0.296611,-4.2231e-7,0.0157221,-0.0158364,-20.6736,-20.6337,-20.6542,0.0399355
28,28,0,0.0249656,0.0006464,0.0005456,122.075,-0.00997871,12306.5,78909.3,0.0249656,0,0.0006464,343.76,95.1017,-0.724411,0.0043564,0.0012052,-9.1803e-6,343.76,-258.354,0.0249656,0,0.0006464,1.37365,0.318115,-6.8754e-6,0.0239747,-0.0143605,-20.6752,-20.6249,-20.655,0.0503294
29,29,0,0.0259896,0.0004144,0.0003776,122.012,-0.0730158,26468.7,50561.8,0.0259896,0,0.0004144,319.376,101.827,0.0290829,0.00631655,0.00201391,5.75196e-7,319.376,-286.745,0.0259896,0,0.0004144,1.00433,0.314886,3.59452e-7,0.0156167,-0.0175289,-20.6927,-20.6356,-20.6608,0.0571243
30,30,0,0.026592,0.0002464,0.000188,122.126,0.0411589,-35250.8,30091.9,0.026592,0,0.0002464,231.223,98.5054,-4.75285,0.00768389,0.00327348,-0.000157945,195.837,-231.223,0.026592,0,0.0002464,0.858894,0.310335,2.73296e-6,0.0149905,-0.011651,-20.6854,-20.6141,-20.6513,0.0713455
31,31,0,0.0270184,0.0007464,0.00018,122.073,-0.0119172,6303.21,91115.4,0.0270184,0,0.0007464,372.976,106.705,-2.42187,0.00409345,0.0011711,-2.65803e-5,372.976,-295.504,0.0270184,0,0.0007464,1.02946,0.336988,8.12267e-6,0.0166448,-0.0179676,-20.6872,-20.6308,-20.6626,0.0564111
32,32,0,0.0280336,0.0006744,0.0002688,122.065,-0.0195842,10596.9,82320.9,0.0280336,0,0.0006744,334.471,117.193,-0.449643,0.00406301,0.00142361,-5.46207e-6,253.865,-334.471,0.0280336,0,0.0006744,1.11433,0.339443,5.23509e-7,0.0194487,-0.0171928,-20.695,-20.6323,-20.6612,0.0627
33,33,0,0.0292072,0.0007056,0.0004992,122.04,-0.0446407,-7317.46,86111.7,0.0292072,0,0.0007056,258.791,100.028,-1.09403,0.0030053,0.00116161,-1.27048e-5,257.706,-258.791,0.0292072,0,0.0007056,0.9597,0.309406,-4.82439e-6,0.0167499,-0.0140335,-20.6896,-20.6294,-20.6631,0.0601967
34,34,0,0.0301032,0.0008296,0.0001904,122.046,-0.0390894,249.62,101249,0.0301032,0,0.0008296,324.61,98.9359,-1.69029,0.00320605,0.000977152,-1.66944e-5,324.61,-257.641,0.0301032,0,0.0008296,1.0802,0.315332,-4.75704e-6,0.0159924,-0.018853,-20.6906,-20.632,-20.664,0.0586754
35,35,0,0.0311192,0.0005968,0.0001864,122.094,0.00919461,15337.1,72865.8,0.0311192,0,0.0005968,293.105,89.7044,1.73864,0.00402253,0.00123109,2.38608e-5,264.645,-293.105,0.0311192,0,0.0005968,0.985998,0.30638,4.66412e-7,0.0172089,-0.014145,-20.6914,-20.6393,-20.6614,0.0521004
36,36,0,0.0321208,0.0006352,0.0004048,122.091,0.00581184,12994.6,77552.1,0.0321208,0,0.0006352,282.051,105.964,1.54381,0.00363692,0.00136635,1.99068e-5,244.377,-282.051,0.0321208,0,0.0006352,1.01508,0.334621,2.55609e-7,0.016427,-0.0177165,-20.6685,-20.6244,-20.65,0.0441119
37,37,0,0.0331576,0.0003984,0.0004016,122.021,-0.0640602,27449.2,48613.2,0.0331576,0,0.0003984,273.613,112.713,-0.681073,0.00562838,0.00231857,-1.40101e-5,273.613,-256.766,0.0331576,0,0.0003984,0.979291,0.329904,1.92484e-6,0.0157955,-0.0170919,-20.675,-20.6349,-20.6522,0.0401053
38,38,0,0.0337432,0.0002672,0.0001872,122.18,0.0947215,-34074.2,32646.4,0.0337432,0,0.0002672,191.21,76.6265,1.76863,0.00585699,0.00234716,5.41754e-5,191.21,-188.028,0.0337432,0,0.0002672,0.649494,0.277447,-1.19614e-5,0.0113358,-0.0109245,-20.6732,-20.6105,-20.6433,0.0626881
39,39,0,0.034176,0.00034,0.0001656,122.074,-0.0113159,31013.5,41505.1,0.034176,0,0.00034,225.75,94.1491,0.51233,0.0054391,0.00226838,1.23438e-5,194.455,-225.75,0.034176,0,0.00034,0.729689,0.283652,1.02402e-6,0.0116097,-0.0127355,-20.6792,-20.6344,-20.6537,0.0448115
40,40,0,0.0347032,0.0003272,0.0001872,122.086,0.0013545,-30410.9,39946.7,0.0347032,0,0.0003272,295.698,93.6905,-1.0674,0.00740233,0.00234539,-2.67206e-5,295.698,-200.317,0.0347032,0,0.0003272,0.999987,0.283159,3.98354e-6,0.0122896,-0.0174531,-20.6694,-20.6062,-20.6444,0.0632571
41,41,0,0.0352104,0.0006176,0.00018,122.073,-0.0124677,14068.1,75392,0.0352104,0,0.0006176,357.949,117.034,1.31804,0.00474784,0.00155234,1.74825e-5,293.923,-357.949,0.0352104,0,0.0006176,1.16511,0.339988,3.88207e-6,0.020335,-0.0170775,-20.6713,-20.6143,-20.6493,0.057021
42,42,0,0.036228,0.000776,0.0004,122.07,-0.0153063,4401.82,94726.1,0.036228,0,0.000776,295.091,102.985,-0.309134,0.0031152,0.00108719,-3.26345e-6,266.945,-295.091,0.036228,0,0.000776,0.936388,0.310284,-7.84702e-7,0.016343,-0.0141649,-20.6897,-20.6254,-20.6603,0.0643403
43,43,0,0.0372584,0.0003376,0.0002544,122.014,-0.0707622,31160.3,41192,0.0372584,0,0.0003376,300.223,106.466,0.364367,0.00728839,0.00258462,8.84557e-6,216.081,-300.223,0.0372584,0,0.0003376,0.889113,0.313064,1.98698e-6,0.0155179,-0.014763,-20.6959,-20.6523,-20.6734,0.0436276
